AAL,6201
AAN,1821393
AAP,1158449
ABG,1144980
ALK,766421
AMZN,1018724
AN,350698
ANF,1018840
APEI,1201792
APTV,1521332
ARMK,1584509
ATGE,730464
ATVI,718877
AXL,1062231
AZO,866787
BABA,1577552
BARK,1819574
BBBY,886158
BBWI,701985
BBY,764478
BFAM,1437578
BIG,768835
BJRI,1013488
BKE,885245
BKNG,1075531
BLMN,1546417
BNED,1634117
BOOT,1610250
BURL,1579298
BWA,908255
BWMX,1788257
BYD,906553
CAKE,887596
CAL,14707
CANG,1725123
CATO,18255
CCL,815097
CCS,1576940
CHDN,20212
CHGG,1364954
CHH,1046311
CHS,897429
CHUY,1524931
CHWY,1766502
CMG,1058090
COLM,1050797
CONN,1223389
COST,909832
COTY,1024305
CPA,1345105
CPNG,1834584
CPRI,1530721
CPRT,900075
CPS,1320461
CRI,1060822
CRMT,799850
CVCO,278166
CVNA,1690820
CZR,1590895
DADA,1793862
DAL,27904
DASH,1792789
DBI,1319947
DECK,910521
DG,29534
DHI,882184
DIN,49754
DIS,1744489
DKNG,1772757
DKS,1089063
DLTR,935703
DORM,868780
DPZ,1286681
DRI,940944
DRVN,1804745
EA,712515
EAT,703351
EBAY,1065088
EL,1001250
ETD,896156
ETSY,1370637
EXPE,1324424
F,37996
FIGS,1846576
FIVE,1177609
FL,850209
FLWS,1084869
FND,1507079
FOSL,883569
FOX,1754301
FOXA,1754301
FRGI,1534992
FTCH,1740915
FTDR,1727263
FVRR,1762301
GCO,18498
GES,912463
GIII,821002
GLBE,1835963
GM,1467858
GME,1326380
GNTX,355811
GPC,40987
GPI,1031203
GPS,39911
GRMN,1121788
GRPN,1490281
H,1468174
HAS,46080
HBI,1359841
HD,354950
HIBB,1017480
HLT,1585689
HOG,793952
HRB,12659
HVT,216085
HZO,1057060
IAA,1745041
IBP,1580905
IPG,51644
IRBT,1159167
JBLU,1158463
JD,1549802
JWN,72333
KMX,1170010
KSS,885639
KTB,1760965
LAD,1023128
LCII,763744
LE,799288
LEA,842162
LEG,58492
LEN,920760
LESL,1821806
LGIH,1580670
LKQ,1065696
LL,1396033
LOCO,1606366
LOPE,1434588
LOW,60667
LQDT,1235468
LULU,1397187
LUV,92380
LVS,1300514
LYFT,1759509
LYV,1335258
LZB,57131
M,794367
MAR,1048286
MAT,63276
MCD,63908
MCRI,907242
MCW,1853513
MDC,773141
MELI,1099590
MGM,789570
MHO,799292
MNRO,876427
MOV,72573
MPAA,918251
MSGS,1636519
MTH,833079
MTN,812011
NCLH,1513761
NFLX,1065280
NKE,320187
NLSN,1492633
NVR,906163
NWL,814453
NWS,1564708
NWSA,1564708
NXST,1142417
NYT,71691
ODP,800240
OLLI,1639300
OMC,29989
ORLY,898173
OSTK,1130713
OXM,75288
OZON,1822829
PAG,1019849
PATK,76605
PDD,1737806
PENN,921738
PETS,1040130
PHM,822416
PII,931015
PLAY,1525769
PLCE,1041859
PLNT,1637207
PLTK,1828016
POOL,945841
POSH,1825480
PRDO,1046568
PRTS,1378950
PTON,1639825
PVH,78239
QS,1811414
QUOT,1115128
RCII,933036
RCL,884887
REAL,1573221
RGR,95029
RH,1528849
RL,1037038
ROL,84839
ROST,745732
RRGB,1171759
RUTH,1324272
RVLV,1746618
SABR,1597033
SAH,1043509
SBH,1368458
SBUX,829224
SCI,89089
SCVL,895447
SE,1703399
SFIX,1576942
SHAK,1620533
SHOO,913241
SIG,832988
SIRI,908937
SITE,1650729
SIX,701374
SKX,1065837
SMP,93389
SNBR,827187
SPOT,1639920
SSTK,1549346
STRA,1013934
TGT,27419
THO,730263
THRM,903129
TJX,109198
TMX,1428875
TNL,1361658
TOL,794170
TPR,1116132
TPX,1206264
TRIP,1526520
TSCO,916365
TSLA,1318605
TTD,1671933
TTWO,946581
TUP,1008654
UA,1336917
UAA,1336917
UAL,100517
UBER,1543151
UEIC,101984
UFI,100726
UHAL,4457
ULTA,1403568

UXIN,1729173
VAC,1524358
VFC,103379

VIPS,1529192
VRA,1495320
VSCO,1856437
VSTO,1616318
W,1616707
WEN,30697
WGO,107687
WH,1722684
WHR,106640
WISH,1822250
WMT,104169
WOOF,1826470
WSM,719955
WW,105319
WWE,1091907
WWW,110471
WYNN,1174922
YETI,1670592
YSG,1819580
YUM,1041061
YUMC,1673358
ZNGA,1439404
ZUMZ,1318008
ACI,1646972
ADM,7084
ANDE,821026
BG,1144519
BGS,1278027
CAG,23217
CALM,16160
CCEP,1650107
CELH,1341766
CENT,887733
CHD,313927
CHEF,1517175
CL,21665
CLX,21076
COKE,317540
COST,909832
CPB,16732
CVGW,1133470
DAR,916540
DOLE,1857475
EL,1001250
ELF,1600033
EPC,1096752
FDP,1047340
FIZZ,69891
GIS,40704
HAIN,910406
HLF,1180262
HRL,48465
HSY,47111
IPAR,822663
JBSS,880117
JJSF,785956
K,55067
KDP,1418135
KHC,1637459
KMB,55785
KO,21344
KR,56873
LW,1679273
MDLZ,1103982
MED,910329
MGPI,835011
MKC,63754
MNST,865752
MO,764180
NOMD,1651717
PEP,77476
PG,80424
PM,1413329
PPC,802481
PSMT,1041803
SAFM,812128
SJM,91419
SMPL,1702744
SPTN,877422
STZ,16918
SYY,96021
TAP,24545
THS,1320695
TSN,100493
TWNK,1644406
UNFI,1020859
USNA,896264
UVV,102037
VGR,59440
WBA,1618921
WDFC,105132
WMT,104169
ALTO,778164
AM,1623925
APA,1841666
AR,1433270
ARCH,1037676
BKR,1701605
BOOM,34067
BP,313807
BRY,1705873
CCO,1334978
CDEV,1658566
CHX,1723089
CLB,1000229
CLNE,1368265
CLR,732834
CNQ,1017413
CNX,1070412

COP,1163165
CPE,928022
CRC,1609253
CRK,23194
CTRA,858470
CVE,1475260
CVI,1376139
CVX,93410
DEN,945764
DK,1694426
DRQ,1042893
DTM,1842022
DVN,1090012
EC,1444406
ENB,895728
EOG,821189
EQNR,1140625
EQT,33213
ETRN,1747009
FANG,1539838
FTI,1681459
GEVO,1392380
GPRE,1309402
HAL,45012
HES,4447
HESM,1789832
HFC,48039
HLX,866829
HP,46765
IMO,49938
INSW,1679049
INT,789460
KMI,1506307
KOS,1509991
LBRT,1694028
LNG,3570
LPG,1596993
LPI,1528129

MGY,1698990
MNRL,1745797
MPC,1510295
MRO,101778
MTDR,1520006
MUR,717423
NBR,1163739
NEX,1688476
NFE,1749723
NOG,1104485
NOV,1021860
OAS,1486159
OII,73756
OKE,1039684
OSH,1564406
OVV,1792580
OXY,797468
PAGP,1581990
PARR,821483
PBF,1534504
PBR,1119639
PDCE,77877
PPL,922224
PSX,1534701
PTEN,889900
PUMP,1680247
PXD,1038357
REGI,1463258
RES,742278
REX,744187
RIG,1451505
RRC,315852
SLB,87347
SLCA,1524741
SM,893538
SU,311337
SWN,7332
TALO,1724965
TDW,98222
TELL,61398
TPL,1811074
TRGP,1389170
TRP,1232384
TTE,879764
VLO,1035002
VNOM,1602065
WHD,1699136
WLL,1255474
WMB,107263
WTI,1288403

XOM,34088
AAL,6201
ACM,868857
ACN,1467373
ADP,8670
ADS,1101215
ADT,1703056
AHT,1232582
AGCO,880266
AIR,1750
AL,1487712

ALK,766421
ALLE,1579241
ALSN,1411207
AMCR,1748790
AME,1037868
AOS,91142

ATR,896622
AWI,7431
AXON,1069183
AXP,4962
AXTA,1616862
AYI,1144215
AZEK,1782754
BA,12927
BAH,1443646
BC,14930
BERY,1378992
BILL,1786352
BLD,1633931
BLDR,1316835
BLL,9389
BWXT,1486957
CAE,1173382
CARR,1783180
CAT,18230
CCK,1219601
CFX,1420800
CGNX,851205
CHRW,1043277
CMI,26172
CNHI,1567094
CNM,1856525
CNR,883902
COF,927628
COHR,21510
CP,16875
CPRT,900075
CR,25445
CSL,790051
CSX,277948
CTAS,723254
CW,26324
DAL,27904
DCI,29644
DD,1666700
DE,315189
DOV,29905
DSEY,1831617
EEFT,1029199
EFX,33185
EMR,32604
ENR,1632790
ETN,1551182
EXP,918646
EXPD,746515
FAST,815556
FBHS,1519751
FCN,887936
FDX,1048911
FICO,814547
FIS,1136893
FISV,798354
FLS,30625
FLT,1175454
FOUR,1794669
FTV,1659166
G,1398659
GD,40533
GE,40545
GGG,42888
GNRC,1474735
GPK,1408075
GPN,1123360
GTES,1718512
GWW,277135
GXO,1852244
HAYW,1834622
HEI,46619
HII,1501585
HON,773840
HUBB,48898
HWM,4281
IAG,1203464
IEX,832101
INFO,1598014
IR,1699150
ITT,216228
ITW,49826
J,52988
JBHT,728535
JCI,833444
JKHY,779152
KEX,56047
KEYS,1601046
KNX,1492691
LDOS,1336920
LECO,59527
LFUS,889331
LHX,202058
LII,1069202
LMT,936468
LPX,60519
LSTR,853816
LUV,92380
LZ,1286139
MA,1141391
MAN,871763
MAS,62996
MDU,67716
MHK,851968
MIDD,769520
MKSI,1049502
MLM,916076
MMM,66740
MRO,101778
MRCY,1049521
MSA,66570
MSM,1003078
MTD,1037646
MTX,891014
MTZ,15615
NDSN,72331
NLSN,1492633
NOC,1133421
NSC,702165
NVT,1720635
OC,1370946
ODFL,878927
OSK,775158
OTIS,1781335
PAYX,723531
PCAR,75362
PCTY,1591698
PH,76334
PKG,75677
PNR,77360
PPG,79879
PSFE,1833835
PWR,1050915
PYPL,1633917
R,85961
RAND,81955
RHI,315213
ROL,84839
ROK,1024478
ROP,882835
RPM,110621
RRX,82811
RSG,1060391
RTX,101829

SAND,1434614
SCHN,912603

SEE,1012100
SHW,89800
SLGN,849869
SNA,91440
SNDR,1692063
SON,91767
SPCE,1706946
SPR,1364885
